nl,nl type,chart,table name,database,label,column,filter,aggregate,mark,encoding,sort
"Create an area chart that illustrates the total net worth of singers, aggregated by their birth year.",add,area,singer,singer,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Area chart showing the net worth of singers by their birth year', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/singer_singer.csv'}, 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'Birth_Year', 'type': 'temporal', 'timeUnit': 'year'}, 'y': {'field': 'Net_Worth_Millions', 'type': 'quantitative', 'aggregate': 'sum'}}}","Birth_Year,Net_Worth_Millions",none,sum Net_Worth_Millions,area,"x=Birth_Year,y=sum Net_Worth_Millions,color=none,size=none",none
"How does the mean ticket price, for exhibitions from 2004 to 2009 with ticket prices greater than 10, trend over the years?",add,area,exhibition,theme_gallery,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Area chart showing the trend of ticket prices over the years for exhibitions in the theme gallery.', 'transform': [{'filter': 'datum.Year >= 2004 && datum.Year <= 2009 && datum.Ticket_Price > 10'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/theme_gallery_exhibition.csv'}, 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'Year', 'type': 'temporal', 'timeUnit': 'year'}, 'y': {'field': 'Ticket_Price', 'type': 'quantitative', 'aggregate': 'mean', 'sort': '-y'}}}","Year,Ticket_Price",year(Year)>= 2004 and year(Year) <= 2009 and Ticket_Price > 10,mean Ticket_Price,area,"x=Year,y=mean Ticket_Price,color=none,size=none",none
"How does the mean ticket price, which is greater than $10, trend from 2004 to 2009?",add,area,exhibition,theme_gallery,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Area chart showing the trend of ticket prices over the years for exhibitions in the theme gallery.', 'transform': [{'filter': 'datum.Year >= 2004 && datum.Year <= 2009 && datum.Ticket_Price > 10'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/theme_gallery_exhibition.csv'}, 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'Year', 'type': 'temporal', 'timeUnit': 'year'}, 'y': {'field': 'Ticket_Price', 'type': 'quantitative', 'aggregate': 'mean', 'sort': '-y'}}}","Year,Ticket_Price",year(Year)>= 2004 and year(Year) <= 2009 and Ticket_Price > 11,mean Ticket_Price,area,"x=Year,y=mean Ticket_Price,color=none,size=none",none
"How does the mean ticket price, which is greater than $10, vary over the years from 2004 to 2009?",add,area,exhibition,theme_gallery,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Area chart showing the trend of ticket prices over the years for exhibitions in the theme gallery.', 'transform': [{'filter': 'datum.Year >= 2004 && datum.Year <= 2009 && datum.Ticket_Price > 10'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/theme_gallery_exhibition.csv'}, 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'Year', 'type': 'temporal', 'timeUnit': 'year'}, 'y': {'field': 'Ticket_Price', 'type': 'quantitative', 'aggregate': 'mean', 'sort': '-y'}}}","Year,Ticket_Price",year(Year)>= 2004 and year(Year) <= 2009 and Ticket_Price > 12,mean Ticket_Price,area,"x=Year,y=mean Ticket_Price,color=none,size=none",none
"How does the total transaction amount, filtered by purchases (transaction type 'PUR') and amounts greater than $300, trend over time when mapped to an area chart with transaction date on the x-axis (using yearmonth time unit) and transaction amount on the y-axis (aggregated by sum)?",add,area,TRANSACTIONS,tracking_share_transactions,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Area chart showing the total amount of transactions over time, filtered by transaction type and amount.', 'transform': [{'filter': ""datum.transaction_type_code == 'PUR' && datum.amount_of_transaction > 300""}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/tracking_share_transactions_TRANSACTIONS.csv'}, 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'date_of_transaction', 'type': 'temporal', 'timeUnit': 'yearmonth'}, 'y': {'field': 'amount_of_transaction', 'type': 'quantitative', 'aggregate': 'sum'}}}","date_of_transaction,amount_of_transaction",transaction_type_code = 'PUR' and amount_of_transaction > 300,sum amount_of_transaction,area,"x=date_of_transaction,y=sum amount_of_transaction,color=none,size=none",none
"How does the total transaction amount, for purchases over $300, vary over time when grouped by month and year?",add,area,TRANSACTIONS,tracking_share_transactions,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Area chart showing the total amount of transactions over time, filtered by transaction type and amount.', 'transform': [{'filter': ""datum.transaction_type_code == 'PUR' && datum.amount_of_transaction > 300""}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/tracking_share_transactions_TRANSACTIONS.csv'}, 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'date_of_transaction', 'type': 'temporal', 'timeUnit': 'yearmonth'}, 'y': {'field': 'amount_of_transaction', 'type': 'quantitative', 'aggregate': 'sum'}}}","date_of_transaction,amount_of_transaction",transaction_type_code = 'PUR' and amount_of_transaction > 300,sum amount_of_transaction,area,"x=date_of_transaction,y=sum amount_of_transaction,color=none,size=none",none
"Show the total transaction amounts over time for purchases (transaction type 'PUR') where the amount exceeds $300, using an area chart.",add,area,TRANSACTIONS,tracking_share_transactions,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Area chart showing the total amount of transactions over time, filtered by transaction type and amount.', 'transform': [{'filter': ""datum.transaction_type_code == 'PUR' && datum.amount_of_transaction > 300""}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/tracking_share_transactions_TRANSACTIONS.csv'}, 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'date_of_transaction', 'type': 'temporal', 'timeUnit': 'yearmonth'}, 'y': {'field': 'amount_of_transaction', 'type': 'quantitative', 'aggregate': 'sum'}}}","date_of_transaction,amount_of_transaction",transaction_type_code = 'PUR' and amount_of_transaction > 300,sum amount_of_transaction,area,"x=date_of_transaction,y=sum amount_of_transaction,color=none,size=none",none
Show the trend of average wine prices over the years using an area chart.,add,area,WINE,wine_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Area chart showing the trend of wine prices over the years.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/wine_1_WINE.csv'}, 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'Year', 'type': 'temporal', 'timeUnit': 'year'}, 'y': {'field': 'Price', 'type': 'quantitative', 'aggregate': 'mean'}}}","Year,Price",none,mean Price,area,"x=Year,y=mean Price,color=none,size=none",none
Show me the trend of average wine prices over the years using an area chart.,add,area,WINE,wine_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Area chart showing the trend of wine prices over the years.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/wine_1_WINE.csv'}, 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'Year', 'type': 'temporal', 'timeUnit': 'year'}, 'y': {'field': 'Price', 'type': 'quantitative', 'aggregate': 'mean'}}}","Year,Price",none,mean Price,area,"x=Year,y=mean Price,color=none,size=none",none
What is the trend of average wine prices over the years?,add,area,WINE,wine_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Area chart showing the trend of wine prices over the years.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/wine_1_WINE.csv'}, 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'Year', 'type': 'temporal', 'timeUnit': 'year'}, 'y': {'field': 'Price', 'type': 'quantitative', 'aggregate': 'mean'}}}","Year,Price",none,mean Price,area,"x=Year,y=mean Price,color=none,size=none",none
How does the total population of countries change over time based on their year of independence?,add,area,country,workshop_paper,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Area chart showing population over time for countries in the dataset.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/world_1_country.csv'}, 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'IndepYear', 'type': 'temporal', 'timeUnit': 'year'}, 'y': {'field': 'Population', 'type': 'quantitative', 'aggregate': 'sum'}}}","IndepYear,Population",none,sum Population,area,"x=IndepYear,y=sum Population,color=none,size=none",none
What is the trend in total population over time based on the year of independence for countries in the dataset?,add,area,country,workshop_paper,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Area chart showing population over time for countries in the dataset.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/world_1_country.csv'}, 'mark': {'type': 'area'}, 'encoding': {'x': {'field': 'IndepYear', 'type': 'temporal', 'timeUnit': 'year'}, 'y': {'field': 'Population', 'type': 'quantitative', 'aggregate': 'sum'}}}","IndepYear,Population",none,sum Population,area,"x=IndepYear,y=sum Population,color=none,size=none",none
"How does the median number of rooms vary across different apartment types, sorted in descending order by the apartment type code?",add,boxplot,Apartments,apartment_rentals,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of room count by apartment type', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/apartment_rentals_Apartments.csv'}, 'mark': {'type': 'boxplot'}, 'encoding': {'x': {'field': 'apt_type_code', 'type': 'nominal', 'sort': '-x'}, 'y': {'field': 'room_count', 'type': 'quantitative', 'aggregate': 'median'}}}","apt_type_code,room_count",none,median room_count,boxplot,"x=apt_type_code,y=median room_count,color=none,size=none",x desc
"Can you display a boxplot of the median number of rooms by apartment type, sorted from the highest to the lowest median number of rooms?",add,boxplot,Apartments,apartment_rentals,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of room count by apartment type', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/apartment_rentals_Apartments.csv'}, 'mark': {'type': 'boxplot'}, 'encoding': {'x': {'field': 'apt_type_code', 'type': 'nominal', 'sort': '-x'}, 'y': {'field': 'room_count', 'type': 'quantitative', 'aggregate': 'median'}}}","apt_type_code,room_count",none,median room_count,boxplot,"x=apt_type_code,y=median room_count,color=none,size=none",x desc
"For players inducted more than 100 votes, how does the induction status affect the distribution of the number of votes received?",add,boxplot,hall_of_fame,baseball_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of votes received by players based on induction status', 'transform': [{'filter': ' datum.votes > 100 && datum.yearid > 1950'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/baseball_1_hall_of_fame.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'inducted', 'type': 'nominal', 'title': 'Induction Status'}, 'y': {'field': 'votes', 'type': 'quantitative', 'title': 'Number of Votes Received'}}}","inducted,votes",votes > 100,none,boxplot,"x=inducted,y=votes,color=none,size=none",none
How does the distribution of 'Number of Votes Received' vary across different 'Induction Status' categories for players who received more than 100 votes?,add,boxplot,hall_of_fame,baseball_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of votes received by players based on induction status', 'transform': [{'filter': 'datum.votes != null && datum.votes > 100 && datum.yearid > 1950'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/baseball_1_hall_of_fame.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'inducted', 'type': 'nominal', 'title': 'Induction Status'}, 'y': {'field': 'votes', 'type': 'quantitative', 'title': 'Number of Votes Received'}}}","inducted,votes",votes > 100,none,boxplot,"x=inducted,y=votes,color=none,size=none",none
How does the distribution of number of votes received vary across different induction status categories for players with more than 100 votes in a boxplot?,add,boxplot,hall_of_fame,baseball_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of votes received by players based on induction status', 'transform': [{'filter': 'datum.votes != null && datum.votes > 100 && datum.yearid > 1950'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/baseball_1_hall_of_fame.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'inducted', 'type': 'nominal', 'title': 'Induction Status'}, 'y': {'field': 'votes', 'type': 'quantitative', 'title': 'Number of Votes Received'}}}","inducted,votes",votes > 100,none,boxplot,"x=inducted,y=votes,color=none,size=none",none
How is the distribution of dock count greater than 10 mapped for each city on the x-axis in a descending order based on dock count on the y-axis?,add,boxplot,station,bike_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of dock count by city', 'transform': [{'filter': 'datum.dock_count > 10'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/bike_1_station.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'city', 'type': 'nominal', 'sort': '-x'}, 'y': {'field': 'dock_count', 'type': 'quantitative', 'title': 'Dock Count'}}}","city,dock_count",dock_count > 10,none,boxplot,"x=city,y=dock_count,color=none,size=none",x asc
How do cities with more than 10 dock counts rank in descending order based on their dock counts?,add,boxplot,station,bike_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of dock count by city', 'transform': [{'filter': 'datum.dock_count > 10'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/bike_1_station.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'city', 'type': 'nominal', 'sort': '-x'}, 'y': {'field': 'dock_count', 'type': 'quantitative', 'title': 'Dock Count'}}}","city,dock_count",dock_count > 10,none,boxplot,"x=city,y=dock_count,color=none,size=none",x asc
"Display a boxplot of dock counts greater than 10 for each city, sorted in descending order by city name.",add,boxplot,station,bike_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of dock count by city', 'transform': [{'filter': 'datum.dock_count > 10'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/bike_1_station.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'city', 'type': 'nominal', 'sort': '-x'}, 'y': {'field': 'dock_count', 'type': 'quantitative', 'title': 'Dock Count'}}}","city,dock_count",dock_count > 10,none,boxplot,"x=city,y=dock_count,color=none,size=none",x asc
How does the Total Performance Metric distribute among body builders as shown in the boxplot?,add,boxplot,body_builder,body_builder,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of Total performance metric for body builders', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/body_builder_body_builder.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'y': {'field': 'Total', 'type': 'quantitative', 'title': 'Total Performance Metric'}}}",Total,none,none,boxplot,"x=none,y=Total,color=none,size=none",none
What does the boxplot reveal about the distribution of the 'Total Performance Metric' among body builders?,add,boxplot,body_builder,body_builder,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of Total performance metric for body builders', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/body_builder_body_builder.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'y': {'field': 'Total', 'type': 'quantitative', 'title': 'Total Performance Metric'}}}",Total,none,none,boxplot,"x=none,y=Total,color=none,size=none",none
What insights can be gained from the boxplot showing the distribution of the 'Total Performance Metric' for body builders?,add,boxplot,body_builder,body_builder,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of Total performance metric for body builders', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/body_builder_body_builder.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'y': {'field': 'Total', 'type': 'quantitative', 'title': 'Total Performance Metric'}}}",Total,none,none,boxplot,"x=none,y=Total,color=none,size=none",none
Can you display a boxplot that shows the distribution of issues across different writers?,add,boxplot,book,book_2,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of book issues by writer', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/book_2_book.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'Writer', 'type': 'nominal', 'sort': 'x'}, 'y': {'field': 'Issues', 'type': 'quantitative', 'title': 'Number of Issues'}}}","Writer,Issues",none,none,boxplot,"x=Writer,y=Issues,color=none,size=none",none
Display the distribution of 'Issues' across different 'Writers' sorted by their names in a boxplot.,add,boxplot,book,book_2,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of book issues by writer', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/book_2_book.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'Writer', 'type': 'nominal', 'sort': 'x'}, 'y': {'field': 'Issues', 'type': 'quantitative', 'title': 'Number of Issues'}}}","Writer,Issues",none,none,boxplot,"x=Writer,y=Issues,color=none,size=none",x asc
How does the distribution of 'Issues' vary across different 'Writers' when sorted by the number of issues?,add,boxplot,book,book_2,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of book issues by writer', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/book_2_book.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'Writer', 'type': 'nominal', 'sort': 'x'}, 'y': {'field': 'Issues', 'type': 'quantitative', 'title': 'Number of Issues'}}}","Writer,Issues",none,none,boxplot,"x=Writer,y=Issues,color=none,size=none",x asc
"For books priced above 1000000, how does the distribution of price across publisher look when sorted in descending order, with the scale not forced to zero?",add,boxplot,publication,book_2,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of book prices by publisher', 'transform': [{'filter': 'datum.Price > 1000000'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/book_2_publication.csv'}, 'mark': {'type': 'boxplot'}, 'encoding': {'x': {'field': 'Publisher', 'type': 'nominal', 'sort': '-x'}, 'y': {'field': 'Price', 'type': 'quantitative', 'scale': {'zero': False}}}}","Publisher,Price",Price > 1000000,none,boxplot,"x=Publisher,y=Price,color=none,size=none",x desc
"How is the distribution of 'Price' across 'Publisher' for books priced above $1,000,000 visualized, sorted in descending order of 'Price', without forcing zero in the scale?",add,boxplot,publication,book_2,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of book prices by publisher', 'transform': [{'filter': 'datum.Price > 1000000'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/book_2_publication.csv'}, 'mark': {'type': 'boxplot'}, 'encoding': {'x': {'field': 'Publisher', 'type': 'nominal', 'sort': '-x'}, 'y': {'field': 'Price', 'type': 'quantitative', 'scale': {'zero': False}}}}","Publisher,Price",Price > 1000000,none,boxplot,"x=Publisher,y=Price,color=none,size=none",x desc
"How does the distribution of 'Price' for books priced above $1,000,000 vary across different 'Publishers', sorted in descending order of 'Price', without forcing zero in the scale?",add,boxplot,publication,book_2,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of book prices by publisher', 'transform': [{'filter': 'datum.Price > 1000000'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/book_2_publication.csv'}, 'mark': {'type': 'boxplot'}, 'encoding': {'x': {'field': 'Publisher', 'type': 'nominal', 'sort': '-x'}, 'y': {'field': 'Price', 'type': 'quantitative', 'scale': {'zero': False}}}}","Publisher,Price",Price > 1000000,none,boxplot,"x=Publisher,y=Price,color=none,size=none",x desc
What is the distribution of height (in cm) across different genders as depicted in a boxplot?,add,boxplot,people,candidate_poll,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of Height by Gender', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/candidate_poll_people.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'Sex', 'type': 'nominal'}, 'y': {'field': 'Height', 'type': 'quantitative', 'title': 'Height (cm)'}}}","Sex,Height",none,none,boxplot,"x=Sex,y=Height,color=none,size=none",none
"Can you show a boxplot of height distribution by gender, titled 'Height (cm)'?",add,boxplot,people,candidate_poll,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of Height by Gender', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/candidate_poll_people.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'Sex', 'type': 'nominal'}, 'y': {'field': 'Height', 'type': 'quantitative', 'title': 'Height (cm)'}}}","Sex,Height",none,none,boxplot,"x=Sex,y=Height,color=none,size=none",none
How does the distribution of height vary across different genders in the boxplot titled 'Height (cm)'?,add,boxplot,people,candidate_poll,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of Height by Gender', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/candidate_poll_people.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'Sex', 'type': 'nominal'}, 'y': {'field': 'Height', 'type': 'quantitative', 'title': 'Height (cm)'}}}","Sex,Height",none,none,boxplot,"x=Sex,y=Height,color=none,size=none",none
Create a boxplot showing how the distribution of 'MPG' varies across 'Cylinders' sorted by 'Cylinders' in descending order.,add,boxplot,CARS_DATA,car_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of MPG for each cylinder category', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/car_1_CARS_DATA.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'Cylinders', 'type': 'ordinal', 'sort': '-x'}, 'y': {'field': 'MPG', 'type': 'quantitative'}}}","Cylinders,MPG",none,none,boxplot,"x=Cylinders,y=MPG,color=none,size=none",x desc
Display the boxplot distribution of 'MPG' across different 'Cylinders' sorted in descending order.,add,boxplot,CARS_DATA,car_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of MPG for each cylinder category', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/car_1_CARS_DATA.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'Cylinders', 'type': 'ordinal', 'sort': '-x'}, 'y': {'field': 'MPG', 'type': 'quantitative'}}}","Cylinders,MPG",none,none,boxplot,"x=Cylinders,y=MPG,color=none,size=none",x desc
"What is the distribution of 'MPG' across different 'Cylinders' categories, sorted from highest to lowest cylinder count?",add,boxplot,CARS_DATA,car_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of MPG for each cylinder category', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/car_1_CARS_DATA.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'Cylinders', 'type': 'ordinal', 'sort': '-x'}, 'y': {'field': 'MPG', 'type': 'quantitative'}}}","Cylinders,MPG",none,none,boxplot,"x=Cylinders,y=MPG,color=none,size=none",x desc
How does the 'Rank in series' vary across different 'Directors' when the 'Rank in series' is greater than 25?,add,boxplot,film,cinema,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of Rank in series by Director', 'transform': [{'filter': 'datum.Rank_in_series > 25'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/cinema_film.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'Directed_by', 'type': 'nominal'}, 'y': {'field': 'Rank_in_series', 'type': 'quantitative', 'title': 'Rank in series'}}}","Directed_by,Rank_in_series",Rank_in_series > 25,none,boxplot,"x=Directed_by,y=Rank_in_series,color=none,size=none",none
How does the 'Rank in series' vary across different 'Directors' for films with a 'Rank in series' greater than 25?,add,boxplot,film,cinema,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of Rank in series by Director', 'transform': [{'filter': 'datum.Rank_in_series > 25'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/cinema_film.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'x': {'field': 'Directed_by', 'type': 'nominal'}, 'y': {'field': 'Rank_in_series', 'type': 'quantitative', 'title': 'Rank in series'}}}","Directed_by,Rank_in_series",Rank_in_series > 25,none,boxplot,"x=Directed_by,y=Rank_in_series,color=none,size=none",none
What is the distribution of course credits as shown by the boxplot?,add,boxplot,course,college_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of course credits by department', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/college_1_course.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'y': {'field': 'CRS_CREDIT', 'type': 'quantitative', 'title': 'Course Credits'}}}",CRS_CREDIT,none,none,boxplot,"x=none,y=CRS_CREDIT,color=none,size=none",none
What is the distribution of course credits across different departments as shown in the boxplot?,add,boxplot,course,college_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of course credits by department', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/college_1_course.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'y': {'field': 'CRS_CREDIT', 'type': 'quantitative', 'title': 'Course Credits'}}}",CRS_CREDIT,none,none,boxplot,"x=none,y=CRS_CREDIT,color=none,size=none",none
What insights can be derived from the boxplot of course credits by department?,add,boxplot,course,college_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Boxplot of course credits by department', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/college_1_course.csv'}, 'mark': {'type': 'boxplot', 'extent': 'min-max'}, 'encoding': {'y': {'field': 'CRS_CREDIT', 'type': 'quantitative', 'title': 'Course Credits'}}}",CRS_CREDIT,none,none,boxplot,"x=none,y=CRS_CREDIT,color=none,size=none",none
